Treebank,Number of Sentences,Failures,Total,acl,acl:relcl,advcl,amod,appos,ccomp,compound,conj,csubj,csubj:cop,dep,fixed,flat,nmod,nsubj,obj,obl,obl:tmod,orphan,parataxis,root
fi_ood-ud-test,2122,0,4,,,,,,,,1.0,,,,,,2.0,,,1.0,,,,
sms_giellagas-ud-test,230,0,9,,,,,,,,2.0,,,,,,,,,5.0,2.0,,,
et_ewt-ud-train,5444,0,597,4.0,3.0,6.0,,1.0,10.0,,67.0,,1.0,,,,84.0,,,384.0,,2.0,3.0,32.0
et_ewt-ud-test,913,0,107,,1.0,,,,,,10.0,1.0,,,,,19.0,,,70.0,,1.0,1.0,4.0
et_ewt-ud-dev,833,0,71,,,2.0,1.0,,,,3.0,,,,,,10.0,,,47.0,,,1.0,7.0
ml_ufal-ud-test,218,0,12,,,,,,,,,,,,,,1.0,,,11.0,,,,
apu_ufpa-ud-test,161,0,4,,,,,,,,2.0,,,,,,,,,2.0,,,,
mr_ufal-ud-train,373,0,4,,,,,,,,,,,,,,,,1.0,3.0,,,,
olo_kkpp-ud-test,106,0,1,,,,,,,,,,,,,,,,,1.0,,,,
mdf_jr-ud-test,454,0,5,,,,,,,,2.0,,,,,,,,,3.0,,,,
vep_vwt-ud-test,103,0,8,,,,,,,,1.0,,,,,,1.0,,,6.0,,,,
fi_tdt-ud-train,12217,0,30,,,,,,,,4.0,,,,,,13.0,,,13.0,,,,
fi_tdt-ud-test,1555,0,1,,,,,,,,,,,,,,1.0,,,,,,,
fi_tdt-ud-dev,1364,0,5,,,,,,,,1.0,,,,,,,,,4.0,,,,
myv_jr-ud-test,921,0,2,,,,,,,,,,,,,,,,,2.0,,,,
myv_jr-ud-train,1217,0,3,1.0,,,,,,,,,,,,,1.0,,,1.0,,,,
kpv_ikdp-ud-test,214,0,7,,,,,,,,1.0,,,,,,,1.0,,5.0,,,,
kpv_lattice-ud-test,643,0,16,,,,,,,,,,,,,,1.0,,,15.0,,,,
fi_pud-ud-test,1000,0,3,,,,,,,,,,,,,,3.0,,,,,,,
et_edt-ud-dev,3128,0,482,1.0,,6.0,,3.0,3.0,,51.0,1.0,2.0,,,1.0,114.0,,,277.0,,2.0,4.0,17.0
et_edt-ud-train,24615,0,3587,8.0,5.0,39.0,,12.0,28.0,,332.0,3.0,,,,2.0,885.0,,,2119.0,,10.0,23.0,121.0
et_edt-ud-test,3214,0,447,1.0,2.0,1.0,1.0,1.0,2.0,,41.0,,,,,,117.0,1.0,,263.0,,2.0,3.0,12.0
wbp_ufal-ud-test,55,0,1,,,,,,,,,,,,,,,,,1.0,,,,
koi_uh-ud-test,94,0,2,,,,,,,,,,,,,,,,,2.0,,,,
sme_giella-ud-train,2257,0,143,,,,,1.0,,,5.0,,,,,,11.0,,,126.0,,,,
sme_giella-ud-test,865,0,104,,,,,,,,4.0,,,,,,18.0,,,82.0,,,,
ta_mwtt-ud-test,534,0,10,,,,,,,,,,,,,,,,,9.0,1.0,,,
ta_ttb-ud-train,400,0,7,,,,,,,,,,,,,,,,,7.0,,,,
ta_ttb-ud-dev,80,0,3,,,,,,,,1.0,,,,,,,,,2.0,,,,
ta_ttb-ud-test,120,0,3,,,,,,,,,,,,,,1.0,,,2.0,,,,
krl_kkpp-ud-test,228,0,1,,,,,,,,,,,,,,1.0,,,,,,,
eu_bdt-ud-train,5396,0,233,,,,,,,1.0,15.0,,,,,1.0,7.0,,,207.0,,2.0,,
eu_bdt-ud-test,1799,0,98,,,,,,,,7.0,,,1.0,,,2.0,,,88.0,,,,
eu_bdt-ud-dev,1798,0,69,,,,,,,1.0,,,,,,,2.0,,,66.0,,,,
fi_ftb-ud-dev,1875,0,8,,,,,,,,2.0,,,,,,6.0,,,,,,,
fi_ftb-ud-train,14981,0,61,,,,,,,,6.0,,,,,,49.0,,,,,,,6.0
fi_ftb-ud-test,1867,0,6,,,,,,,,1.0,,,,,,5.0,,,,,,,
bxr_bdt-ud-test,908,0,90,1.0,,,1.0,,,1.0,7.0,,,,1.0,1.0,52.0,2.0,7.0,11.0,,,1.0,5.0
